index,magnitude,phase_angle,is_predicted,received_at
0,24838.248046875,-116.86046590617285,False,2023-09-20 15:10:58.036697
1,24838.248046875,-116.52242618377058,False,2023-09-20 15:10:58.054111
2,24838.248046875,-116.21303227474733,False,2023-09-20 15:10:58.071978
3,24838.248046875,-115.89217730829681,False,2023-09-20 15:10:58.089872
4,24838.248046875,-115.5713223418463,False,2023-09-20 15:10:58.107592
5,24838.248046875,-115.24473001649297,False,2023-09-20 15:10:58.125319
6,24838.248046875,-114.91241399261517,False,2023-09-20 15:10:58.141939
7,24838.248046875,-114.59155902616465,False,2023-09-20 15:10:58.159315
8,24838.248046875,-114.26497353100049,False,2023-09-20 15:10:58.176551
9,24838.248046875,-113.94411856454997,False,2023-09-20 15:10:58.193920
10,24838.248046875,-113.62326359809944,False,2023-09-20 15:10:58.211531
11,24838.248046875,-113.285217045508,False,2023-09-20 15:10:58.228742
12,24838.248046875,-112.9643620790575,False,2023-09-20 15:10:58.246062
13,24838.248046875,-112.63204605517969,False,2023-09-20 15:10:58.263410
14,24838.248046875,-112.31118425854,False,2023-09-20 15:10:58.280925
15,24838.248046875,-112.45442698581351,False,2023-09-20 15:10:58.298104
16,24856.55859375,-112.1221109619357,False,2023-09-20 15:10:58.315373
17,24856.55859375,-111.80125599548519,False,2023-09-20 15:10:58.332713
18,24856.55859375,-111.48040102903467,False,2023-09-20 15:10:58.350622
19,24856.55859375,-110.83295373723082,False,2023-09-20 15:10:58.386202
20,24856.55859375,-110.49491401482855,False,2023-09-20 15:10:58.403932
21,24856.55859375,-110.18551327561615,False,2023-09-20 15:10:58.421861
22,24856.55859375,-109.85319725173834,False,2023-09-20 15:10:58.439926
23,24856.55859375,-109.54380334271511,False,2023-09-20 15:10:58.457829
24,24856.55859375,-109.2114873188373,False,2023-09-20 15:10:58.475734
25,24856.55859375,-108.91354763705218,False,2023-09-20 15:10:58.493662
26,24856.55859375,-108.56404002703346,False,2023-09-20 15:10:58.511519
27,24856.55859375,-108.24318506058293,False,2023-09-20 15:10:58.529130
28,24856.55859375,-107.91086903670514,False,2023-09-20 15:10:58.546670
29,24856.55859375,-107.61293618510918,False,2023-09-20 15:10:58.564326
30,24856.55859375,-107.28062016123138,False,2023-09-20 15:10:58.582146
31,24856.55859375,-106.97121942201898,False,2023-09-20 15:10:58.599794
32,24856.55859375,-106.64463392685481,False,2023-09-20 15:10:58.617735
33,24856.55859375,-106.33524001783157,False,2023-09-20 15:10:58.635582
34,24856.55859375,-106.00292399395377,False,2023-09-20 15:10:58.653523
35,24856.55859375,-105.69352325474136,False,2023-09-20 15:10:58.671501
36,24856.55859375,-105.37266828829084,False,2023-09-20 15:10:58.689361
37,24856.55859375,-105.06326754907843,False,2023-09-20 15:10:58.707273
38,24856.55859375,-104.74241258262792,False,2023-09-20 15:10:58.725080
39,24856.55859375,-104.4215576161774,False,2023-09-20 15:10:58.743065
40,24865.712890625,-104.09497212101324,False,2023-09-20 15:10:58.760631
41,24865.712890625,-103.77411715456272,False,2023-09-20 15:10:58.778361
42,24865.712890625,-103.4532621881122,False,2023-09-20 15:10:58.796045
43,24865.712890625,-103.13240039147252,False,2023-09-20 15:10:58.814013
44,24865.712890625,-102.81154542502199,False,2023-09-20 15:10:58.832010
45,24865.712890625,-102.49069045857148,False,2023-09-20 15:10:58.849784
46,24865.712890625,-102.1755660208346,False,2023-09-20 15:10:58.867360
47,24856.55859375,-101.8547042241949,False,2023-09-20 15:10:58.885273
48,24865.712890625,-101.54531031517168,False,2023-09-20 15:10:58.903297
49,24856.55859375,-101.21299429129387,False,2023-09-20 15:10:58.920968
50,24865.712890625,-100.89213932484336,False,2023-09-20 15:10:58.939036
51,24856.55859375,-100.57128435839283,False,2023-09-20 15:10:58.956697
52,24865.712890625,-100.25042256175314,False,2023-09-20 15:10:58.974690
53,24856.55859375,-99.94102865272991,False,2023-09-20 15:10:58.992264
54,24856.55859375,-99.63162791351749,False,2023-09-20 15:10:59.010260
55,24856.55859375,-98.98418745190281,False,2023-09-20 15:10:59.045512
56,24856.55859375,-98.6633324854523,False,2023-09-20 15:10:59.063211
57,24856.55859375,-98.3539317462399,False,2023-09-20 15:10:59.081185
58,24856.55859375,-98.03307677978937,False,2023-09-20 15:10:59.099164
59,24856.55859375,-97.71222181333886,False,2023-09-20 15:10:59.116971
60,24856.55859375,-97.39136684688833,False,2023-09-20 15:10:59.134883
61,24856.55859375,-97.07051188043782,False,2023-09-20 15:10:59.152453
62,24856.55859375,-96.75538061251177,False,2023-09-20 15:10:59.170460
63,24856.55859375,-96.45171723220217,False,2023-09-20 15:10:59.188003
64,24838.248046875,-96.13086226575166,False,2023-09-20 15:10:59.205949
65,24838.248046875,-95.81573099782561,False,2023-09-20 15:10:59.223867
66,24838.248046875,-95.49487603137509,False,2023-09-20 15:10:59.241715
67,24838.248046875,-95.18547529216268,False,2023-09-20 15:10:59.259585
68,24838.248046875,-94.85316609847405,False,2023-09-20 15:10:59.277494
69,24838.248046875,-94.53230430183436,False,2023-09-20 15:10:59.295937
