index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 06:11:17.958197
1,24801.626953125,-44.22088157361573,False,2023-06-14 06:11:17.977691
2,24801.626953125,-44.01461669087051,False,2023-06-14 06:11:17.998179
3,24792.470703125,-43.79116363707896,False,2023-06-14 06:11:18.019894
4,24801.626953125,-43.561980054573766,False,2023-06-14 06:11:18.037914
5,24801.626953125,-43.33279647206857,False,2023-06-14 06:11:18.058571
6,24801.626953125,-43.10361630465797,False,2023-06-14 06:11:18.076685
7,24801.626953125,-42.89162089319911,False,2023-06-14 06:11:18.094520
8,24801.626953125,-42.67389495302662,False,2023-06-14 06:11:18.113673
9,24801.626953125,-42.433253728188724,False,2023-06-14 06:11:18.133508
10,24801.626953125,-42.19261250335084,False,2023-06-14 06:11:18.151003
11,24801.626953125,-41.963428920845644,False,2023-06-14 06:11:18.171114
12,24810.78125,-41.73424533834045,False,2023-06-14 06:11:18.188772
13,24810.78125,-41.50506175583526,False,2023-06-14 06:11:18.208824
14,24801.626953125,-41.29306975947099,False,2023-06-14 06:11:18.230800
15,24801.626953125,-41.063886176965795,False,2023-06-14 06:11:18.251421
16,24801.626953125,-40.84043312317424,False,2023-06-14 06:11:18.270666
17,24801.626953125,-40.622707183001744,False,2023-06-14 06:11:18.288879
18,24801.626953125,-40.40498465792383,False,2023-06-14 06:11:18.306812
19,24801.626953125,-40.18153160413228,False,2023-06-14 06:11:18.326454
20,24801.626953125,-39.96380566395979,False,2023-06-14 06:11:18.345698
21,24801.626953125,-39.734622081454596,False,2023-06-14 06:11:18.365848
22,24801.626953125,-39.511169027663044,False,2023-06-14 06:11:18.387168
23,24801.626953125,-39.28198544515785,False,2023-06-14 06:11:18.406197
24,24801.626953125,-39.06426292007994,False,2023-06-14 06:11:18.425713
25,24801.626953125,-38.823621695242046,False,2023-06-14 06:11:18.448386
26,24801.626953125,-39.06426292007994,False,2023-06-14 06:11:18.466401
27,24801.626953125,-38.83507933757475,False,2023-06-14 06:11:18.483290
28,24801.626953125,-38.611626283783195,False,2023-06-14 06:11:18.501628
29,24801.626953125,-38.393900343610696,False,2023-06-14 06:11:18.519499
30,24801.599609375,-38.18189810196267,True,2023-06-14 06:11:19.557320
31,24792.470703125,-37.96418240707393,False,2023-06-14 06:11:18.555792
32,24792.470703125,-37.740729353282376,False,2023-06-14 06:11:18.574032
33,24792.470703125,-37.51154577077718,False,2023-06-14 06:11:18.591112
34,24792.470703125,-37.31101141674561,False,2023-06-14 06:11:18.608607
35,24792.470703125,-37.10474653400039,False,2023-06-14 06:11:18.626588
36,24792.470703125,-36.88129348020884,False,2023-06-14 06:11:18.644503
37,24792.470703125,-36.66357095513093,False,2023-06-14 06:11:18.662470
38,24792.470703125,-36.474494243432055,False,2023-06-14 06:11:18.680266
39,24792.470703125,-36.23384960349958,False,2023-06-14 06:11:18.698425
40,24792.470703125,-36.02185760713531,False,2023-06-14 06:11:18.716387
41,24792.470703125,-35.81559272439009,False,2023-06-14 06:11:18.734411
42,24792.470703125,-35.603597312931235,False,2023-06-14 06:11:18.752803
43,24783.31640625,-35.38014425913968,False,2023-06-14 06:11:18.770755
44,24783.31640625,-35.17387937639447,False,2023-06-14 06:11:18.788470
45,24783.31640625,-34.944695793889274,False,2023-06-14 06:11:18.806311
46,24783.31640625,-34.72124274009772,False,2023-06-14 06:11:18.824350
47,24783.31640625,-34.51497785735251,False,2023-06-14 06:11:18.841872
48,24783.31640625,-34.302982445893655,False,2023-06-14 06:11:18.859470
49,24783.31640625,-34.07379886338846,False,2023-06-14 06:11:18.876591
50,24783.31640625,-33.85034580959691,False,2023-06-14 06:11:18.893697
51,24783.31640625,-33.621162227091716,False,2023-06-14 06:11:18.912273
52,24792.470703125,-33.403439702013806,False,2023-06-14 06:11:18.930491
53,24783.31640625,-33.185717176935896,False,2023-06-14 06:11:18.948078
54,24783.31640625,-32.962260708049754,False,2023-06-14 06:11:18.966298
55,24783.31640625,-32.744538182971844,False,2023-06-14 06:11:18.983783
56,24783.31640625,-32.51535460046665,False,2023-06-14 06:11:19.002176
57,24783.31640625,-32.280440489247816,False,2023-06-14 06:11:19.019554
58,24783.31640625,-32.062717964169906,False,2023-06-14 06:11:19.037768
59,24783.31640625,-31.833534381664712,False,2023-06-14 06:11:19.056127
60,24783.31640625,-31.621542385300444,False,2023-06-14 06:11:19.072878
61,24774.16015625,-31.403816445127948,False,2023-06-14 06:11:19.091386
62,24774.16015625,-31.180363391336392,False,2023-06-14 06:11:19.109498
63,24774.16015625,-30.962640866258482,False,2023-06-14 06:11:19.127317
64,24783.31640625,-30.73345728375329,False,2023-06-14 06:11:19.145829
65,24774.16015625,-30.515731343580793,False,2023-06-14 06:11:19.163580
66,24774.16015625,-30.303739347216524,False,2023-06-14 06:11:19.181085
67,24774.16015625,-30.080282878330387,False,2023-06-14 06:11:19.198419
68,24774.16015625,-29.862560353252473,False,2023-06-14 06:11:19.216125
69,24774.16015625,-29.644837828174563,False,2023-06-14 06:11:19.233780
70,24774.16015625,-29.432842416715708,False,2023-06-14 06:11:19.251763
71,24765.005859375,-29.215116476543212,False,2023-06-14 06:11:19.269742
72,24765.005859375,-29.00312448017894,False,2023-06-14 06:11:19.287023
73,24765.005859375,-28.785398540006444,False,2023-06-14 06:11:19.304782
74,24765.005859375,-28.550486136334904,False,2023-06-14 06:11:19.322449
75,24765.005859375,-28.33276361125699,False,2023-06-14 06:11:19.340105
76,24765.005859375,-28.120768199798135,False,2023-06-14 06:11:19.358480
77,24755.849609375,-27.92023384576656,False,2023-06-14 06:11:19.376398
78,24755.849609375,-27.713968963021344,False,2023-06-14 06:11:19.394580
79,24755.849609375,-27.4905142016825,False,2023-06-14 06:11:19.412310
80,24755.849609375,-27.2613323267246,False,2023-06-14 06:11:19.430119
81,24755.849609375,-27.043608094099397,False,2023-06-14 06:11:19.447661
82,24755.849609375,-26.820155040307846,False,2023-06-14 06:11:19.465793
83,24755.849609375,-26.590971457802652,False,2023-06-14 06:11:19.483618
84,24755.849609375,-26.36178787529746,False,2023-06-14 06:11:19.501713
85,24755.849609375,-26.11541612174593,False,2023-06-14 06:11:19.519869
86,24755.849609375,-26.33314035437113,False,2023-06-14 06:11:19.537947
87,24755.849609375,-26.09249742198595,False,2023-06-14 06:11:19.555787
88,24765.005859375,-25.86331554702805,False,2023-06-14 06:11:19.573966
89,24765.005859375,-25.62267261464287,False,2023-06-14 06:11:19.591403
90,24755.849609375,-25.404948382017665,False,2023-06-14 06:11:19.609369
91,24755.849609375,-25.164307157179774,False,2023-06-14 06:11:19.626645
92,24765.005859375,-24.923664224794592,False,2023-06-14 06:11:19.644268
93,24765.005859375,-24.694480642289403,False,2023-06-14 06:11:19.662708
94,24765.005859375,-24.46529705978421,False,2023-06-14 06:11:19.680603
95,24765.005859375,-24.22465583494632,False,2023-06-14 06:11:19.698692
96,24765.005859375,-23.984012902561137,False,2023-06-14 06:11:19.716956
97,24765.005859375,-23.743371677723246,False,2023-06-14 06:11:19.735708
98,24765.005859375,-23.514188095218056,False,2023-06-14 06:11:19.753885
99,24765.005859375,-23.273545162832875,False,2023-06-14 06:11:19.771539
100,24765.005859375,-23.044363287874972,False,2023-06-14 06:11:19.788606
101,24765.005859375,-22.81517970536978,False,2023-06-14 06:11:19.806809
102,24765.005859375,-22.574536772984597,False,2023-06-14 06:11:19.824837
103,24765.005859375,-22.33389554814671,False,2023-06-14 06:11:19.841992
104,24765.005859375,-22.104711965641517,False,2023-06-14 06:11:19.860089
105,24765.005859375,-21.875528383136324,False,2023-06-14 06:11:19.877594
106,24765.005859375,-21.640615979464783,False,2023-06-14 06:11:19.895203
107,24765.005859375,-21.41143239695959,False,2023-06-14 06:11:19.913489
108,24765.005859375,-21.1707911721217,False,2023-06-14 06:11:19.931389
109,24765.005859375,-20.930148239736518,False,2023-06-14 06:11:19.949772
110,24774.16015625,-20.695235836064978,False,2023-06-14 06:11:19.967038
111,24774.16015625,-20.460323432393437,False,2023-06-14 06:11:19.985861
112,24774.16015625,-20.231139849888244,False,2023-06-14 06:11:20.003773
113,24774.16015625,-20.00195626738305,False,2023-06-14 06:11:20.021659
114,24765.005859375,-19.772772684877857,False,2023-06-14 06:11:20.039080
115,24774.16015625,-19.52067211015998,False,2023-06-14 06:11:20.056853
116,24774.16015625,-19.280029177774797,False,2023-06-14 06:11:20.074751
117,24774.16015625,-19.050847302816898,False,2023-06-14 06:11:20.092416
118,24774.16015625,-18.821663720311705,False,2023-06-14 06:11:20.110582
119,24774.16015625,-18.581020787926523,False,2023-06-14 06:11:20.128350
120,24774.16015625,-18.340379563088632,False,2023-06-14 06:11:20.146526
121,24774.16015625,-18.105467159417092,False,2023-06-14 06:11:20.163087
122,24774.16015625,-17.87055304819826,False,2023-06-14 06:11:20.181894
123,24774.16015625,-17.652828815573056,False,2023-06-14 06:11:20.199790
124,24774.16015625,-17.435106290495145,False,2023-06-14 06:11:20.217536
125,24774.16015625,-17.20019217927631,False,2023-06-14 06:11:20.236408
126,24765.005859375,-16.9824696541984,False,2023-06-14 06:11:20.254337
127,24774.16015625,-16.764745421573195,False,2023-06-14 06:11:20.271162
128,24774.16015625,-16.535561839068002,False,2023-06-14 06:11:20.288895
129,24774.16015625,-16.32356813515644,False,2023-06-14 06:11:20.307393
130,24765.005859375,-16.082925202771257,False,2023-06-14 06:11:20.325124
131,24765.005859375,-15.853741620266064,False,2023-06-14 06:11:20.343000
132,24774.16015625,-15.613100395428175,False,2023-06-14 06:11:20.361035
133,24774.16015625,-15.395376162802972,False,2023-06-14 06:11:20.378949
134,24774.16015625,-15.171923109011418,False,2023-06-14 06:11:20.397314
135,24774.16015625,-14.954198876386215,False,2023-06-14 06:11:20.414985
