index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-09-11 00:54:05.062629
1,24801.626953125,-44.22088157361573,False,2023-09-11 00:54:05.080195
2,24801.626953125,-44.01461669087051,False,2023-09-11 00:54:05.097749
3,24792.470703125,-43.79116363707896,False,2023-09-11 00:54:05.115430
4,24801.626953125,-43.561980054573766,False,2023-09-11 00:54:05.133155
5,24801.626953125,-43.33279647206857,False,2023-09-11 00:54:05.150548
6,24801.626953125,-43.10361630465797,False,2023-09-11 00:54:05.168326
7,24801.626953125,-42.89162089319911,False,2023-09-11 00:54:05.185835
8,24801.626953125,-42.67389495302662,False,2023-09-11 00:54:05.203473
9,24801.626953125,-42.433253728188724,False,2023-09-11 00:54:05.221171
10,24801.626953125,-42.19261250335084,False,2023-09-11 00:54:05.238836
11,24801.626953125,-41.963428920845644,False,2023-09-11 00:54:05.256593
12,24810.78125,-41.73424533834045,False,2023-09-11 00:54:05.274057
13,24810.78125,-41.50506175583526,False,2023-09-11 00:54:05.291651
14,24801.626953125,-41.29306975947099,False,2023-09-11 00:54:05.309414
15,24801.626953125,-41.063886176965795,False,2023-09-11 00:54:05.327181
16,24801.626953125,-40.84043312317424,False,2023-09-11 00:54:05.344990
17,24801.626953125,-40.622707183001744,False,2023-09-11 00:54:05.362662
18,24801.626953125,-40.40498465792383,False,2023-09-11 00:54:05.380414
19,24801.626953125,-40.18153160413228,False,2023-09-11 00:54:05.397863
20,24801.626953125,-39.96380566395979,False,2023-09-11 00:54:05.415638
21,24801.626953125,-39.734622081454596,False,2023-09-11 00:54:05.433384
22,24801.626953125,-39.511169027663044,False,2023-09-11 00:54:05.451046
23,24801.626953125,-39.28198544515785,False,2023-09-11 00:54:05.468775
24,24801.626953125,-39.06426292007994,False,2023-09-11 00:54:05.486325
25,24801.626953125,-38.823621695242046,False,2023-09-11 00:54:05.505355
26,24801.626953125,-39.06426292007994,False,2023-09-11 00:54:05.523159
27,24801.626953125,-38.83507933757475,False,2023-09-11 00:54:05.540765
28,24801.626953125,-38.611626283783195,False,2023-09-11 00:54:05.558362
29,24801.626953125,-38.393900343610696,False,2023-09-11 00:54:05.575879
30,24801.626953125,-38.18190834724643,False,2023-09-11 00:54:05.593575
31,24792.470703125,-37.96418240707393,False,2023-09-11 00:54:05.611215
32,24792.470703125,-37.740729353282376,False,2023-09-11 00:54:05.629051
33,24792.470703125,-37.51154577077718,False,2023-09-11 00:54:05.646584
34,24792.470703125,-37.31101141674561,False,2023-09-11 00:54:05.664276
35,24792.470703125,-37.10474653400039,False,2023-09-11 00:54:05.681759
36,24792.470703125,-36.88129348020884,False,2023-09-11 00:54:05.699583
37,24792.470703125,-36.66357095513093,False,2023-09-11 00:54:05.717298
38,24792.470703125,-36.474494243432055,False,2023-09-11 00:54:05.735033
39,24792.470703125,-36.23384960349958,False,2023-09-11 00:54:05.752810
40,24792.470703125,-36.02185760713531,False,2023-09-11 00:54:05.770286
41,24792.470703125,-35.81559272439009,False,2023-09-11 00:54:05.787801
42,24792.470703125,-35.603597312931235,False,2023-09-11 00:54:05.805605
43,24783.31640625,-35.38014425913968,False,2023-09-11 00:54:05.823397
44,24783.31640625,-35.17387937639447,False,2023-09-11 00:54:05.840887
45,24783.31640625,-34.944695793889274,False,2023-09-11 00:54:05.858584
46,24783.31640625,-34.72124274009772,False,2023-09-11 00:54:05.876372
47,24783.31640625,-34.51497785735251,False,2023-09-11 00:54:05.893830
48,24783.31640625,-34.302982445893655,False,2023-09-11 00:54:05.911516
49,24783.31640625,-34.07379886338846,False,2023-09-11 00:54:05.929388
50,24783.31640625,-33.85034580959691,False,2023-09-11 00:54:05.947113
51,24783.31640625,-33.621162227091716,False,2023-09-11 00:54:05.964881
52,24792.470703125,-33.403439702013806,False,2023-09-11 00:54:05.982618
53,24783.31640625,-33.185717176935896,False,2023-09-11 00:54:06.000484
54,24783.31640625,-32.962260708049754,False,2023-09-11 00:54:06.017937
55,24783.31640625,-32.744538182971844,False,2023-09-11 00:54:06.035617
56,24783.31640625,-32.51535460046665,False,2023-09-11 00:54:06.053099
57,24783.31640625,-32.280440489247816,False,2023-09-11 00:54:06.070744
58,24783.34765625,-32.03979243422076,True,2023-09-11 00:54:06.132174
59,24783.31640625,-31.833534381664712,False,2023-09-11 00:54:06.105959
60,24783.31640625,-31.621542385300444,False,2023-09-11 00:54:06.123510
61,24774.16015625,-31.403816445127948,False,2023-09-11 00:54:06.141101
62,24774.16015625,-31.180363391336392,False,2023-09-11 00:54:06.158581
63,24774.16015625,-30.962640866258482,False,2023-09-11 00:54:06.176315
64,24783.31640625,-30.73345728375329,False,2023-09-11 00:54:06.193832
65,24774.16015625,-30.515731343580793,False,2023-09-11 00:54:06.211667
66,24774.16015625,-30.303739347216524,False,2023-09-11 00:54:06.229428
67,24774.16015625,-30.080282878330387,False,2023-09-11 00:54:06.247237
68,24774.16015625,-29.862560353252473,False,2023-09-11 00:54:06.265010
69,24774.16015625,-29.644837828174563,False,2023-09-11 00:54:06.282689
70,24774.16015625,-29.432842416715708,False,2023-09-11 00:54:06.300446
71,24765.005859375,-29.215116476543212,False,2023-09-11 00:54:06.317980
72,24765.005859375,-29.00312448017894,False,2023-09-11 00:54:06.335755
73,24765.005859375,-28.785398540006444,False,2023-09-11 00:54:06.353261
74,24765.005859375,-28.550486136334904,False,2023-09-11 00:54:06.371065
75,24765.005859375,-28.33276361125699,False,2023-09-11 00:54:06.388736
76,24765.005859375,-28.120768199798135,False,2023-09-11 00:54:06.406194
77,24755.849609375,-27.92023384576656,False,2023-09-11 00:54:06.423965
78,24755.849609375,-27.713968963021344,False,2023-09-11 00:54:06.441413
79,24755.849609375,-27.4905142016825,False,2023-09-11 00:54:06.459108
80,24755.849609375,-27.2613323267246,False,2023-09-11 00:54:06.476908
81,24755.849609375,-27.043608094099397,False,2023-09-11 00:54:06.494428
82,24755.849609375,-26.820155040307846,False,2023-09-11 00:54:06.512296
83,24755.849609375,-26.590971457802652,False,2023-09-11 00:54:06.529704
84,24755.849609375,-26.36178787529746,False,2023-09-11 00:54:06.547503
85,24755.849609375,-26.11541612174593,False,2023-09-11 00:54:06.565682
86,24755.849609375,-26.33314035437113,False,2023-09-11 00:54:06.583195
87,24758.134765625,-27.01491276184888,True,2023-09-11 00:54:06.644645
88,24765.005859375,-25.86331554702805,False,2023-09-11 00:54:06.618647
89,24765.005859375,-25.62267261464287,False,2023-09-11 00:54:06.636117
90,24755.849609375,-25.404948382017665,False,2023-09-11 00:54:06.653629
91,24755.849609375,-25.164307157179774,False,2023-09-11 00:54:06.671468
92,24765.005859375,-24.923664224794592,False,2023-09-11 00:54:06.689200
93,24765.005859375,-24.694480642289403,False,2023-09-11 00:54:06.707020
94,24765.005859375,-24.46529705978421,False,2023-09-11 00:54:06.724705
95,24765.005859375,-24.22465583494632,False,2023-09-11 00:54:06.742146
96,24765.005859375,-23.984012902561137,False,2023-09-11 00:54:06.760025
97,24765.005859375,-23.743371677723246,False,2023-09-11 00:54:06.777410
98,24765.005859375,-23.514188095218056,False,2023-09-11 00:54:06.795188
99,24765.005859375,-23.273545162832875,False,2023-09-11 00:54:06.813004
100,24765.005859375,-23.044363287874972,False,2023-09-11 00:54:06.830547
101,24765.005859375,-22.81517970536978,False,2023-09-11 00:54:06.848260
102,24765.005859375,-22.574536772984597,False,2023-09-11 00:54:06.865718
103,24765.005859375,-22.33389554814671,False,2023-09-11 00:54:06.883520
104,24765.005859375,-22.104711965641517,False,2023-09-11 00:54:06.901355
105,24765.005859375,-21.875528383136324,False,2023-09-11 00:54:06.919107
106,24765.005859375,-21.640615979464783,False,2023-09-11 00:54:06.936900
107,24765.005859375,-21.41143239695959,False,2023-09-11 00:54:06.954511
108,24765.005859375,-21.1707911721217,False,2023-09-11 00:54:06.972271
109,24765.005859375,-20.930148239736518,False,2023-09-11 00:54:06.989691
110,24774.16015625,-20.695235836064978,False,2023-09-11 00:54:07.007500
111,24774.16015625,-20.460323432393437,False,2023-09-11 00:54:07.025164
112,24774.16015625,-20.231139849888244,False,2023-09-11 00:54:07.042809
113,24774.16015625,-20.00195626738305,False,2023-09-11 00:54:07.060615
114,24765.005859375,-19.772772684877857,False,2023-09-11 00:54:07.078068
115,24774.16015625,-19.52067211015998,False,2023-09-11 00:54:07.095897
116,24774.16015625,-19.280029177774797,False,2023-09-11 00:54:07.113659
117,24774.16015625,-19.050847302816898,False,2023-09-11 00:54:07.131587
118,24774.16015625,-18.821663720311705,False,2023-09-11 00:54:07.149384
119,24774.16015625,-18.581020787926523,False,2023-09-11 00:54:07.167163
120,24774.16015625,-18.340379563088632,False,2023-09-11 00:54:07.184982
121,24774.16015625,-18.105467159417092,False,2023-09-11 00:54:07.202624
122,24774.16015625,-17.87055304819826,False,2023-09-11 00:54:07.220422
123,24774.16015625,-17.652828815573056,False,2023-09-11 00:54:07.237971
124,24774.16015625,-17.435106290495145,False,2023-09-11 00:54:07.255817
125,24774.16015625,-17.20019217927631,False,2023-09-11 00:54:07.273656
126,24765.005859375,-16.9824696541984,False,2023-09-11 00:54:07.291238
127,24774.16015625,-16.764745421573195,False,2023-09-11 00:54:07.308875
128,24774.16015625,-16.535561839068002,False,2023-09-11 00:54:07.326387
129,24774.16015625,-16.32356813515644,False,2023-09-11 00:54:07.343955
130,24765.005859375,-16.082925202771257,False,2023-09-11 00:54:07.361576
131,24765.005859375,-15.853741620266064,False,2023-09-11 00:54:07.379373
132,24774.16015625,-15.613100395428175,False,2023-09-11 00:54:07.397204
133,24774.16015625,-15.395376162802972,False,2023-09-11 00:54:07.414862
134,24774.16015625,-15.171923109011418,False,2023-09-11 00:54:07.432646
135,24774.16015625,-14.954198876386215,False,2023-09-11 00:54:07.450127
136,24774.16015625,-14.725015293881022,False,2023-09-11 00:54:07.467921
137,24774.16015625,-14.50156224008947,False,2023-09-11 00:54:07.485587
138,24765.005859375,-14.272378657584277,False,2023-09-11 00:54:07.503439
139,24774.16015625,-14.04319592885273,False,2023-09-11 00:54:07.521215
140,24774.16015625,-13.831201371167522,False,2023-09-11 00:54:07.539035
141,24774.16015625,-13.602017788662328,False,2023-09-11 00:54:07.556828
