index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-09-06 12:57:40.633978
1,24801.626953125,-44.22088157361573,False,2023-09-06 12:57:40.651514
2,24801.626953125,-44.01461669087051,False,2023-09-06 12:57:40.669204
3,24792.470703125,-43.79116363707896,False,2023-09-06 12:57:40.686946
4,24801.626953125,-43.561980054573766,False,2023-09-06 12:57:40.704531
5,24801.626953125,-43.33279647206857,False,2023-09-06 12:57:40.722210
6,24801.626953125,-43.10361630465797,False,2023-09-06 12:57:40.739778
7,24801.626953125,-42.89162089319911,False,2023-09-06 12:57:40.757556
8,24801.544921875,-42.69680682259742,True,2023-09-06 12:57:41.011769
9,24801.302734375,-42.519167262663736,True,2023-09-06 12:57:41.011857
10,24801.626953125,-42.19261250335084,False,2023-09-06 12:57:40.810443
11,24801.626953125,-41.963428920845644,False,2023-09-06 12:57:40.827988
12,24810.78125,-41.73424533834045,False,2023-09-06 12:57:40.845671
13,24810.78125,-41.50506175583526,False,2023-09-06 12:57:40.863486
14,24801.626953125,-41.29306975947099,False,2023-09-06 12:57:40.881218
15,24801.626953125,-41.063886176965795,False,2023-09-06 12:57:40.899036
16,24801.626953125,-40.84043312317424,False,2023-09-06 12:57:40.916932
17,24801.626953125,-40.622707183001744,False,2023-09-06 12:57:40.934683
18,24801.626953125,-40.40498465792383,False,2023-09-06 12:57:40.952200
19,24801.626953125,-40.18153160413228,False,2023-09-06 12:57:40.970000
20,24801.626953125,-39.96380566395979,False,2023-09-06 12:57:40.987761
21,24801.626953125,-39.734622081454596,False,2023-09-06 12:57:41.005532
22,24801.626953125,-39.511169027663044,False,2023-09-06 12:57:41.023101
23,24801.626953125,-39.28198544515785,False,2023-09-06 12:57:41.040651
24,24801.626953125,-39.06426292007994,False,2023-09-06 12:57:41.058505
25,24801.626953125,-38.823621695242046,False,2023-09-06 12:57:41.077231
26,24801.751953125,-38.56005835554959,True,2023-09-06 12:57:41.331099
27,24802.138671875,-38.27357631609716,True,2023-09-06 12:57:41.331168
28,24801.626953125,-38.611626283783195,False,2023-09-06 12:57:41.130180
29,24801.626953125,-38.393900343610696,False,2023-09-06 12:57:41.147749
30,24801.626953125,-38.18190834724643,False,2023-09-06 12:57:41.165581
31,24792.470703125,-37.96418240707393,False,2023-09-06 12:57:41.183403
32,24792.470703125,-37.740729353282376,False,2023-09-06 12:57:41.201153
33,24801.65625,-37.51179507268189,True,2023-09-06 12:57:41.331195
34,24792.470703125,-37.31101141674561,False,2023-09-06 12:57:41.236425
35,24792.470703125,-37.10474653400039,False,2023-09-06 12:57:41.254194
36,24792.470703125,-36.88129348020884,False,2023-09-06 12:57:41.271675
37,24792.470703125,-36.66357095513093,False,2023-09-06 12:57:41.289442
38,24792.470703125,-36.474494243432055,False,2023-09-06 12:57:41.307213
39,24792.470703125,-36.23384960349958,False,2023-09-06 12:57:41.324819
40,24792.470703125,-36.02185760713531,False,2023-09-06 12:57:41.342551
41,24792.470703125,-35.81559272439009,False,2023-09-06 12:57:41.360030
42,24792.470703125,-35.603597312931235,False,2023-09-06 12:57:41.377763
43,24792.498046875,-35.38586795766415,True,2023-09-06 12:57:41.614128
44,24783.31640625,-35.17387937639447,False,2023-09-06 12:57:41.413200
45,24783.31640625,-34.944695793889274,False,2023-09-06 12:57:41.430868
46,24792.5859375,-34.698569927147865,True,2023-09-06 12:57:41.614493
47,24783.31640625,-34.51497785735251,False,2023-09-06 12:57:41.466275
48,24783.31640625,-34.302982445893655,False,2023-09-06 12:57:41.483709
49,24783.31640625,-34.07379886338846,False,2023-09-06 12:57:41.501495
50,24783.31640625,-33.85034580959691,False,2023-09-06 12:57:41.519272
51,24783.31640625,-33.621162227091716,False,2023-09-06 12:57:41.537044
52,24792.470703125,-33.403439702013806,False,2023-09-06 12:57:41.554850
53,24810.72265625,-33.197403630605784,True,2023-09-06 12:57:41.614569
54,24783.31640625,-32.962260708049754,False,2023-09-06 12:57:41.590176
55,24783.31640625,-32.744538182971844,False,2023-09-06 12:57:41.607743
56,24783.31640625,-32.51535460046665,False,2023-09-06 12:57:41.625473
57,24783.31640625,-32.280440489247816,False,2023-09-06 12:57:41.643217
58,24783.31640625,-32.062717964169906,False,2023-09-06 12:57:41.660873
59,24783.31640625,-31.833534381664712,False,2023-09-06 12:57:41.678565
60,24783.31640625,-31.621542385300444,False,2023-09-06 12:57:41.696074
61,24774.16015625,-31.403816445127948,False,2023-09-06 12:57:41.713911
62,24774.16015625,-31.180363391336392,False,2023-09-06 12:57:41.731815
63,24774.16015625,-30.962640866258482,False,2023-09-06 12:57:41.749588
64,24783.31640625,-30.73345728375329,False,2023-09-06 12:57:41.767423
65,24774.16015625,-30.515731343580793,False,2023-09-06 12:57:41.785204
66,24774.16015625,-30.303739347216524,False,2023-09-06 12:57:41.802943
67,24774.16015625,-30.080282878330387,False,2023-09-06 12:57:41.820704
68,24774.21875,-29.845358521827798,True,2023-09-06 12:57:42.056903
69,24774.16015625,-29.644837828174563,False,2023-09-06 12:57:41.856059
70,24774.16015625,-29.432842416715708,False,2023-09-06 12:57:41.873834
71,24765.005859375,-29.215116476543212,False,2023-09-06 12:57:41.891604
72,24765.005859375,-29.00312448017894,False,2023-09-06 12:57:41.909366
73,24765.005859375,-28.785398540006444,False,2023-09-06 12:57:41.927136
74,24765.005859375,-28.550486136334904,False,2023-09-06 12:57:41.944786
75,24765.005859375,-28.33276361125699,False,2023-09-06 12:57:41.962484
76,24765.005859375,-28.120768199798135,False,2023-09-06 12:57:41.980009
77,24755.849609375,-27.92023384576656,False,2023-09-06 12:57:41.997817
78,24755.849609375,-27.713968963021344,False,2023-09-06 12:57:42.015626
79,24765.03125,-27.502200655352393,True,2023-09-06 12:57:42.056982
80,24755.849609375,-27.2613323267246,False,2023-09-06 12:57:42.051238
81,24755.849609375,-27.043608094099397,False,2023-09-06 12:57:42.068854
82,24755.849609375,-26.820155040307846,False,2023-09-06 12:57:42.086459
83,24755.849609375,-26.590971457802652,False,2023-09-06 12:57:42.103974
84,24755.849609375,-26.36178787529746,False,2023-09-06 12:57:42.121805
85,24755.849609375,-26.11541612174593,False,2023-09-06 12:57:42.139787
86,24755.9453125,-25.851852782053477,True,2023-09-06 12:57:42.375902
87,24755.849609375,-26.09249742198595,False,2023-09-06 12:57:42.175200
88,24765.005859375,-25.86331554702805,False,2023-09-06 12:57:42.192864
89,24765.005859375,-25.62267261464287,False,2023-09-06 12:57:42.210554
90,24755.849609375,-25.404948382017665,False,2023-09-06 12:57:42.228061
91,24755.849609375,-25.164307157179774,False,2023-09-06 12:57:42.245758
92,24765.005859375,-24.923664224794592,False,2023-09-06 12:57:42.263604
